ticket_id,issue_category,agent_notes,resolution_time_min,resolved_first_contact,customer_satisfaction
1,Billing,"Customer disputed a charge, insisting they cancelled last month. Checked logs - cancellation request was submitted but never confirmed in step 2 of the flow. UX issue, not customer error.",33,N,3
2,Bug Report,Search returned zero results for terms that clearly existed in records. The search index hadn't rebuilt after a recent data migration.,47,Y,5
3,Billing,Customer charged twice for same invoice due to a retry from a failed webhook. Issued refund for duplicate charge and flagged webhook retry logic for engineering.,40,N,1
4,Login Issue,Customer using old bookmarked login URL from before our domain migration. Redirected them to the new URL and updated their bookmark.,10,N,2
5,Login Issue,Customer using old bookmarked login URL from before our domain migration. Redirected them to the new URL and updated their bookmark.,18,Y,5
6,Login Issue,"Login worked on mobile but not desktop. Cache issue - had them clear cookies for our domain specifically, not full browser cache.",7,Y,4
7,Billing,"Proration looked wrong after a mid-cycle upgrade. Walked customer through the proration math line by line; it was actually correct, just confusing to read.",10,Y,3
8,Performance,Reports timing out only during 9-10am IST. That's peak load time across our largest customer cohort; likely a capacity issue rather than a customer-specific bug.,18,N,3
9,Feature Request,Requested an audit log showing who changed what in shared dashboards. Compliance-driven request from a healthcare customer - likely to become a blocker for others in that industry.,6,N,3
10,Bug Report,Dashboard filters reset every time the page auto-refreshed. Root cause: filter state wasn't being persisted across the refresh cycle.,111,Y,2
11,Login Issue,Account showed as 'suspended' but customer never violated anything. Found it was an automated flag from a false-positive fraud rule. Escalated to trust & safety to whitelist.,6,N,1
12,Performance,Reports timing out only during 9-10am IST. That's peak load time across our largest customer cohort; likely a capacity issue rather than a customer-specific bug.,62,N,3
13,Bug Report,"Chart rendered blank for datasets over 10,000 rows. This is a known rendering library limit - recommended aggregating data before charting as a workaround.",119,N,3
14,Billing,Currency showing in USD instead of INR despite India billing address. Manually corrected currency on account and noted it for the localization team.,30,Y,4
15,Login Issue,User's session kept expiring every 2 minutes. Turned out their browser extension was blocking our auth cookie. Had them disable it.,18,N,1
16,Billing,Invoice PDF wouldn't generate for enterprise plan customers specifically. Found a template bug only triggered when line items exceed 8 rows.,12,Y,4
17,Bug Report,Duplicate rows appearing after using the bulk-edit tool. Traced it to a race condition when two bulk edits overlap. Advised avoiding concurrent bulk edits until patched.,57,Y,5
18,Bug Report,"Chart rendered blank for datasets over 10,000 rows. This is a known rendering library limit - recommended aggregating data before charting as a workaround.",45,N,4
19,Bug Report,Duplicate rows appearing after using the bulk-edit tool. Traced it to a race condition when two bulk edits overlap. Advised avoiding concurrent bulk edits until patched.,66,N,1
20,Login Issue,Account showed as 'suspended' but customer never violated anything. Found it was an automated flag from a false-positive fraud rule. Escalated to trust & safety to whitelist.,9,Y,4
21,Performance,Dashboard taking 15+ seconds to load for one customer specifically. Their dataset had grown to 2M rows without any indexing - recommended enabling the new indexing option.,86,N,1
22,Login Issue,"Two-factor code never arrived. Checked SMS gateway logs, delivery was delayed on carrier side. Advised switching to authenticator app.",9,Y,2
23,Performance,API responses slowed down after customer added a new custom field. Custom fields on that table aren't indexed by default; advised adding an index or removing the field from filters.,70,Y,3
24,Login Issue,"Login worked on mobile but not desktop. Cache issue - had them clear cookies for our domain specifically, not full browser cache.",21,Y,1
25,Feature Request,"Asked for a dark mode option, cited eye strain from long dashboard sessions. Passed to product team, noted this is a frequent ask from the analytics-heavy user segment.",3,N,1
